stop_id,day,time
128N,34 St - Penn Station,SAT,40926
128S,34 St - Penn Station,SAT,38724
128N,34 St - Penn Station,SAT,41406
128S,34 St - Penn Station,SAT,39204
128N,34 St - Penn Station,SAT,41886
128S,34 St - Penn Station,SAT,39684
128N,34 St - Penn Station,SAT,42366
128S,34 St - Penn Station,SAT,40164
128N,34 St - Penn Station,SAT,42846
128S,34 St - Penn Station,SAT,40644
128N,34 St - Penn Station,SAT,43326
128S,34 St - Penn Station,SAT,41124
128N,34 St - Penn Station,SAT,43806
128S,34 St - Penn Station,SAT,41604
128N,34 St - Penn Station,SAT,44286
128S,34 St - Penn Station,SAT,42084
128N,34 St - Penn Station,SAT,44766
128S,34 St - Penn Station,SAT,42564
128N,34 St - Penn Station,SAT,45246
128S,34 St - Penn Station,SAT,43044
128N,34 St - Penn Station,SAT,45726
128S,34 St - Penn Station,SAT,43524
128N,34 St - Penn Station,SAT,46206
128S,34 St - Penn Station,SAT,44004
128N,34 St - Penn Station,SAT,46686
128S,34 St - Penn Station,SAT,44484
128N,34 St - Penn Station,SAT,47166
128S,34 St - Penn Station,SAT,44964
128N,34 St - Penn Station,SAT,47646
128S,34 St - Penn Station,SAT,45444
128N,34 St - Penn Station,SAT,48126
128S,34 St - Penn Station,SAT,45924
128N,34 St - Penn Station,SAT,48606
128S,34 St - Penn Station,SAT,46404
128N,34 St - Penn Station,SAT,49086
128S,34 St - Penn Station,SAT,46884
128N,34 St - Penn Station,SAT,49566
128S,34 St - Penn Station,SAT,47364
128N,34 St - Penn Station,SAT,50046
128S,34 St - Penn Station,SAT,47844
128N,34 St - Penn Station,SAT,50526
128S,34 St - Penn Station,SAT,48324
128N,34 St - Penn Station,SAT,51006
128S,34 St - Penn Station,SAT,48804
128N,34 St - Penn Station,SAT,51486
128S,34 St - Penn Station,SAT,49284
128N,34 St - Penn Station,SAT,51966
128S,34 St - Penn Station,SAT,49764
128N,34 St - Penn Station,SAT,52446
128S,34 St - Penn Station,SAT,50244
128N,34 St - Penn Station,SAT,52926
128S,34 St - Penn Station,SAT,50724
128N,34 St - Penn Station,SAT,53406
128S,34 St - Penn Station,SAT,51204
128N,34 St - Penn Station,SAT,53886
128S,34 St - Penn Station,SAT,51684
128N,34 St - Penn Station,SAT,54366
128S,34 St - Penn Station,SAT,52164
128N,34 St - Penn Station,SAT,54846
128S,34 St - Penn Station,SAT,52644
128N,34 St - Penn Station,SAT,55326
128S,34 St - Penn Station,SAT,53124
128N,34 St - Penn Station,SAT,55806
128S,34 St - Penn Station,SAT,53604
128N,34 St - Penn Station,SAT,56286
128S,34 St - Penn Station,SAT,54084
128N,34 St - Penn Station,SAT,56766
128S,34 St - Penn Station,SAT,54564
128N,34 St - Penn Station,SAT,57246
128S,34 St - Penn Station,SAT,55044
128N,34 St - Penn Station,SAT,57726
128S,34 St - Penn Station,SAT,55524
128N,34 St - Penn Station,SAT,58206
128S,34 St - Penn Station,SAT,56004
128N,34 St - Penn Station,SAT,58686
128S,34 St - Penn Station,SAT,56484
128N,34 St - Penn Station,SAT,59166
128S,34 St - Penn Station,SAT,56964
128N,34 St - Penn Station,SAT,59646
128S,34 St - Penn Station,SAT,57444
128N,34 St - Penn Station,SAT,60126
128S,34 St - Penn Station,SAT,57924
128N,34 St - Penn Station,SAT,60606
128S,34 St - Penn Station,SAT,58404
128N,34 St - Penn Station,SAT,61086
128S,34 St - Penn Station,SAT,58884
128N,34 St - Penn Station,SAT,61566
128S,34 St - Penn Station,SAT,59364
128N,34 St - Penn Station,SAT,62046
128S,34 St - Penn Station,SAT,59844
128N,34 St - Penn Station,SAT,62526
128S,34 St - Penn Station,SAT,60324
128N,34 St - Penn Station,SAT,63006
128S,34 St - Penn Station,SAT,60804
128N,34 St - Penn Station,SAT,63486
128S,34 St - Penn Station,SAT,61284
128N,34 St - Penn Station,SAT,63966
128S,34 St - Penn Station,SAT,61764
128N,34 St - Penn Station,SAT,64446
128S,34 St - Penn Station,SAT,62244
128N,34 St - Penn Station,SAT,64926
128S,34 St - Penn Station,SAT,62724
128N,34 St - Penn Station,SAT,65406
128S,34 St - Penn Station,SAT,63204
128N,34 St - Penn Station,SAT,65886
128S,34 St - Penn Station,SAT,63684
128N,34 St - Penn Station,SAT,66366
128S,34 St - Penn Station,SAT,64164
128N,34 St - Penn Station,SAT,66846
128S,34 St - Penn Station,SAT,64644
128N,34 St - Penn Station,SAT,67326
128S,34 St - Penn Station,SAT,65124
128N,34 St - Penn Station,SAT,67806
128S,34 St - Penn Station,SAT,65604
128N,34 St - Penn Station,SAT,68286
128S,34 St - Penn Station,SAT,66084
128N,34 St - Penn Station,SAT,68766
128S,34 St - Penn Station,SAT,66564
128N,34 St - Penn Station,SAT,69246
128S,34 St - Penn Station,SAT,67044
128N,34 St - Penn Station,SAT,69726
128S,34 St - Penn Station,SAT,67524
128N,34 St - Penn Station,SAT,70206
128S,34 St - Penn Station,SAT,68004
128N,34 St - Penn Station,SAT,70686
128S,34 St - Penn Station,SAT,68484
128N,34 St - Penn Station,SAT,71166
128S,34 St - Penn Station,SAT,68964
128N,34 St - Penn Station,SAT,71646
128S,34 St - Penn Station,SAT,69444
128N,34 St - Penn Station,SAT,72126
128S,34 St - Penn Station,SAT,69924
128N,34 St - Penn Station,SAT,72606
128S,34 St - Penn Station,SAT,70404
128N,34 St - Penn Station,SAT,73086
128S,34 St - Penn Station,SAT,70884
128N,34 St - Penn Station,SAT,73566
128S,34 St - Penn Station,SAT,71364
128N,34 St - Penn Station,SAT,74046
128S,34 St - Penn Station,SAT,71844
128N,34 St - Penn Station,SAT,74526
128S,34 St - Penn Station,SAT,72324
128N,34 St - Penn Station,SAT,75006
128S,34 St - Penn Station,SAT,72804
128N,34 St - Penn Station,SAT,75486
128S,34 St - Penn Station,SAT,73284
128N,34 St - Penn Station,SAT,75966
128S,34 St - Penn Station,SAT,73764
128N,34 St - Penn Station,SAT,76446
128S,34 St - Penn Station,SAT,74244
128N,34 St - Penn Station,SAT,76926
128S,34 St - Penn Station,SAT,74724
128N,34 St - Penn Station,SAT,77406
128S,34 St - Penn Station,SAT,75204
128N,34 St - Penn Station,SAT,77886
128S,34 St - Penn Station,SAT,75684
